2019-09-11 19:14:38 INFO: Using 1 GPUs.

2019-09-11 19:31:39 INFO: Epoch[20] Iteration[33/46] Loss: 6.5194
2019-09-11 19:31:40 INFO: Epoch[20] Iteration[37/46] Loss: 6.5157
2019-09-11 19:31:42 INFO: Epoch[20] Iteration[41/46] Loss: 6.5125
2019-09-11 19:31:43 INFO: Epoch[20] Iteration[45/46] Loss: 6.5092
2019-09-11 19:32:19 INFO: Epoch[21] Iteration[1/46] Loss: 6.5070
2019-09-11 19:32:20 INFO: Epoch[21] Iteration[5/46] Loss: 6.5031
2019-09-11 19:32:21 INFO: Epoch[21] Iteration[9/46] Loss: 6.4993
2019-09-11 19:32:23 INFO: Epoch[21] Iteration[13/46] Loss: 6.4955
2019-09-11 19:32:24 INFO: Epoch[21] Iteration[17/46] Loss: 6.4923
2019-09-11 19:32:25 INFO: Epoch[21] Iteration[21/46] Loss: 6.4886
2019-09-11 19:32:27 INFO: Epoch[21] Iteration[25/46] Loss: 6.4851
2019-09-11 19:32:28 INFO: Epoch[21] Iteration[29/46] Loss: 6.4819
2019-09-11 19:32:29 INFO: Epoch[21] Iteration[33/46] Loss: 6.4785
2019-09-11 19:32:30 INFO: Epoch[21] Iteration[37/46] Loss: 6.4751
2019-09-11 19:32:32 INFO: Epoch[21] Iteration[41/46] Loss: 6.4714
2019-09-11 19:32:33 INFO: Epoch[21] Iteration[45/46] Loss: 6.4679
2019-09-11 19:33:08 INFO: Epoch[22] Iteration[1/46] Loss: 6.4663
2019-09-11 19:33:10 INFO: Epoch[22] Iteration[5/46] Loss: 6.4628
2019-09-11 19:33:11 INFO: Epoch[22] Iteration[9/46] Loss: 6.4591
2019-09-11 19:33:12 INFO: Epoch[22] Iteration[13/46] Loss: 6.4552
2019-09-11 19:33:14 INFO: Epoch[22] Iteration[17/46] Loss: 6.4521
2019-09-11 19:33:15 INFO: Epoch[22] Iteration[21/46] Loss: 6.4481
2019-09-11 19:33:16 INFO: Epoch[22] Iteration[25/46] Loss: 6.4442
2019-09-11 19:33:17 INFO: Epoch[22] Iteration[29/46] Loss: 6.4406
2019-09-11 19:33:19 INFO: Epoch[22] Iteration[33/46] Loss: 6.4371
2019-09-11 19:33:20 INFO: Epoch[22] Iteration[37/46] Loss: 6.4336
2019-09-11 19:33:21 INFO: Epoch[22] Iteration[41/46] Loss: 6.4308
2019-09-11 19:33:23 INFO: Epoch[22] Iteration[45/46] Loss: 6.4278
2019-09-11 19:33:58 INFO: Epoch[23] Iteration[1/46] Loss: 6.4264
2019-09-11 19:33:59 INFO: Epoch[23] Iteration[5/46] Loss: 6.4227
2019-09-11 19:34:01 INFO: Epoch[23] Iteration[9/46] Loss: 6.4192
2019-09-11 19:34:02 INFO: Epoch[23] Iteration[13/46] Loss: 6.4158
2019-09-11 19:34:03 INFO: Epoch[23] Iteration[17/46] Loss: 6.4127
2019-09-11 19:34:05 INFO: Epoch[23] Iteration[21/46] Loss: 6.4099
2019-09-11 19:34:06 INFO: Epoch[23] Iteration[25/46] Loss: 6.4072
2019-09-11 19:34:07 INFO: Epoch[23] Iteration[29/46] Loss: 6.4041
2019-09-11 19:34:09 INFO: Epoch[23] Iteration[33/46] Loss: 6.4010
2019-09-11 19:34:10 INFO: Epoch[23] Iteration[37/46] Loss: 6.3983
2019-09-11 19:34:11 INFO: Epoch[23] Iteration[41/46] Loss: 6.3950
2019-09-11 19:34:12 INFO: Epoch[23] Iteration[45/46] Loss: 6.3920
